Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-13,10.010000228881836,10.010000228881836,9.989999771118164,10.0,1865074,0,0
2020-02-14,10.0,10.010000228881836,9.984999656677246,10.010000228881836,203987,0,0
2020-02-18,9.949999809265137,10.009400367736816,9.949999809265137,10.0,20089,0,0
2020-02-19,10.0,10.0,9.989999771118164,10.0,10181,0,0
2020-02-20,10.005000114440918,10.011199951171875,10.0,10.00529956817627,28412,0,0
2020-02-21,10.0,10.020000457763672,10.0,10.010000228881836,16702,0,0
2020-02-24,10.020000457763672,10.020000457763672,10.0,10.0,31064,0,0
2020-02-25,10.0,10.0,10.0,10.0,35581,0,0
2020-02-26,9.989999771118164,9.989999771118164,9.989999771118164,9.989999771118164,1000,0,0
2020-02-27,9.989999771118164,9.989999771118164,9.989999771118164,9.989999771118164,13136,0,0
2020-02-28,10.0,10.0,9.960000038146973,9.980299949645996,40036,0,0
2020-03-02,9.980299949645996,9.980299949645996,9.980299949645996,9.980299949645996,0,0,0
2020-03-03,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,1900,0,0
2020-03-04,10.0,10.0,9.970000267028809,9.970000267028809,11797,0,0
2020-03-05,10.020000457763672,10.020000457763672,9.949999809265137,9.949999809265137,228717,0,0
2020-03-06,9.949999809265137,9.960000038146973,9.920000076293945,9.960000038146973,5770,0,0
2020-03-09,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0,0
2020-03-10,9.989999771118164,10.0,9.989999771118164,10.0,2500,0,0
2020-03-11,10.0,10.0,10.0,10.0,0,0,0
2020-03-12,9.9399995803833,9.979999542236328,9.920000076293945,9.970000267028809,101081,0,0
2020-03-13,9.899999618530273,9.899999618530273,9.800000190734863,9.890000343322754,50700,0,0
2020-03-16,9.850000381469727,9.850000381469727,9.800000190734863,9.800000190734863,2500,0,0
2020-03-17,9.75,9.75,9.59000015258789,9.59000015258789,62568,0,0
2020-03-18,9.600000381469727,9.637499809265137,9.600000381469727,9.609999656677246,1491,0,0
2020-03-19,9.772199630737305,9.772199630737305,9.772199630737305,9.772199630737305,1052,0,0
2020-03-20,9.510000228881836,9.5600004196167,9.25,9.5600004196167,10915,0,0
2020-03-23,9.5600004196167,9.5600004196167,9.550000190734863,9.550000190734863,200000,0,0
2020-03-24,9.813799858093262,9.813799858093262,9.449999809265137,9.449999809265137,292939,0,0
2020-03-25,9.449999809265137,9.449999809265137,9.449999809265137,9.449999809265137,0,0,0
2020-03-26,9.5,9.505999565124512,9.499899864196777,9.499899864196777,4663,0,0
