Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-01,9.920000076293945,9.949999809265137,9.890000343322754,9.899999618530273,5857300,0,0
2020-10-02,9.899999618530273,9.930000305175781,9.890000343322754,9.899999618530273,281400,0,0
2020-10-05,9.930000305175781,9.930000305175781,9.890000343322754,9.90999984741211,59000,0,0
2020-10-06,9.90999984741211,9.920000076293945,9.890000343322754,9.899999618530273,122800,0,0
2020-10-07,9.90999984741211,9.90999984741211,9.878999710083008,9.899999618530273,562300,0,0
2020-10-08,9.90999984741211,9.930000305175781,9.876999855041504,9.880000114440918,193600,0,0
2020-10-09,9.930000305175781,9.930000305175781,9.880000114440918,9.88700008392334,35300,0,0
2020-10-12,9.890000343322754,9.899999618530273,9.869999885559082,9.869999885559082,65200,0,0
2020-10-13,9.880000114440918,9.930000305175781,9.880000114440918,9.90999984741211,12900,0,0
2020-10-14,9.90999984741211,9.90999984741211,9.880000114440918,9.880000114440918,118500,0,0
2020-10-15,9.937000274658203,9.949999809265137,9.880000114440918,9.880000114440918,10000,0,0
2020-10-16,9.880000114440918,9.90999984741211,9.880000114440918,9.899999618530273,17400,0,0
2020-10-19,9.899999618530273,9.925000190734863,9.859999656677246,9.925000190734863,162500,0,0
2020-10-20,9.930000305175781,9.930000305175781,9.880000114440918,9.890000343322754,33200,0,0
2020-10-21,9.930000305175781,9.930000305175781,9.880999565124512,9.899999618530273,161800,0,0
2020-10-22,9.880000114440918,9.90999984741211,9.880000114440918,9.895000457763672,59300,0,0
2020-10-23,9.930000305175781,9.940999984741211,9.899999618530273,9.930000305175781,2500,0,0
2020-10-26,9.899999618530273,9.918000221252441,9.890000343322754,9.899999618530273,77000,0,0
2020-10-27,9.902999877929688,9.902999877929688,9.890000343322754,9.890000343322754,6700,0,0
2020-10-28,9.890000343322754,9.920000076293945,9.859999656677246,9.890000343322754,13000,0,0
2020-10-29,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,300,0,0
2020-10-30,9.869999885559082,9.890000343322754,9.859999656677246,9.859999656677246,4100,0,0
2020-11-02,9.890000343322754,9.899999618530273,9.859999656677246,9.859999656677246,12900,0,0
2020-11-03,9.892999649047852,9.90999984741211,9.859999656677246,9.890000343322754,52000,0,0
2020-11-04,9.909000396728516,9.930000305175781,9.909000396728516,9.930000305175781,1100,0,0
2020-11-05,9.920999526977539,9.9399995803833,9.899999618530273,9.930000305175781,10500,0,0
2020-11-06,9.918000221252441,9.918000221252441,9.899999618530273,9.899999618530273,2200,0,0
2020-11-09,9.930000305175781,9.949999809265137,9.899999618530273,9.899999618530273,30700,0,0
2020-11-10,9.920000076293945,9.937999725341797,9.890000343322754,9.890000343322754,7800,0,0
2020-11-11,9.895000457763672,9.949999809265137,9.895000457763672,9.90999984741211,21200,0,0
2020-11-12,9.930000305175781,9.960000038146973,9.899999618530273,9.960000038146973,18200,0,0
2020-11-13,9.930000305175781,9.9399995803833,9.90999984741211,9.9399995803833,3400,0,0
2020-11-16,9.920000076293945,9.960000038146973,9.90999984741211,9.9399995803833,34900,0,0
2020-11-17,9.956999778747559,9.970000267028809,9.901000022888184,9.960000038146973,7700,0,0
2020-11-18,9.960000038146973,9.960000038146973,9.9350004196167,9.9350004196167,9100,0,0
2020-11-19,9.960000038146973,9.960000038146973,9.899999618530273,9.90999984741211,37700,0,0
2020-11-20,9.9399995803833,10.0,9.930000305175781,9.970000267028809,28300,0,0
2020-11-23,10.0,10.0,9.949999809265137,10.0,3400,0,0
2020-11-24,10.0,10.050000190734863,9.989999771118164,10.029999732971191,130100,0,0
2020-11-25,10.020000457763672,10.050000190734863,10.010000228881836,10.010000228881836,24400,0,0
2020-11-27,10.03499984741211,10.079999923706055,10.029999732971191,10.079999923706055,152000,0,0
2020-11-30,10.079999923706055,10.100000381469727,10.050000190734863,10.050000190734863,23200,0,0
2020-12-01,10.100000381469727,10.119999885559082,10.07699966430664,10.100000381469727,39500,0,0
2020-12-02,10.109999656677246,10.109999656677246,10.09000015258789,10.09000015258789,700,0,0
2020-12-03,10.09000015258789,10.119999885559082,10.09000015258789,10.119999885559082,32100,0,0
2020-12-04,10.130000114440918,10.199999809265137,10.095000267028809,10.15999984741211,59800,0,0
2020-12-07,10.199999809265137,10.220000267028809,10.149999618530273,10.15999984741211,81700,0,0
2020-12-08,10.199999809265137,10.199999809265137,10.109999656677246,10.109999656677246,17500,0,0
2020-12-09,10.199999809265137,10.300000190734863,10.180000305175781,10.289999961853027,132000,0,0
2020-12-10,10.229999542236328,10.430000305175781,10.220000267028809,10.319999694824219,195700,0,0
2020-12-11,10.289999961853027,10.420000076293945,10.289999961853027,10.319999694824219,83300,0,0
2020-12-14,10.399999618530273,10.449999809265137,10.329999923706055,10.359999656677246,178000,0,0
2020-12-15,10.380000114440918,10.399999618530273,10.350000381469727,10.350000381469727,11900,0,0
2020-12-16,10.383000373840332,10.383000373840332,10.3100004196167,10.3100004196167,113700,0,0
2020-12-17,10.312000274658203,10.312000274658203,10.279999732971191,10.3100004196167,58300,0,0
2020-12-18,10.354999542236328,10.399999618530273,10.3100004196167,10.350000381469727,60800,0,0
2020-12-21,10.350000381469727,10.399999618530273,10.350000381469727,10.399999618530273,23500,0,0
2020-12-22,10.449999809265137,10.600000381469727,10.399999618530273,10.399999618530273,125500,0,0
2020-12-23,10.550000190734863,10.600000381469727,10.5,10.600000381469727,60100,0,0
2020-12-24,10.699999809265137,10.899999618530273,10.649999618530273,10.84000015258789,262570,0,0
